country	year	month-01	month-02	month-03	month-04	month-05	month-06	month-07	month-08	month-09	month-10	month-11	month-12
COD	2020	3	35	0	0	0	0	0	0	0	0	0	0
CRI	2020	9	24	0	0	0	0	0	0	0	0	0	0
CIV	2020	1	1	0	0	0	0	0	0	0	0	0	0
HRV	2020	331	250	81	0	0	0	0	0	0	0	0	0
CUB	2020	0	1	1	0	0	0	0	0	0	0	0	0
CYP	2020	99	53	31	0	0	0	0	0	0	0	0	0
CZE	2020	2673	3646	1280	0	0	0	0	0	0	0	0	0
DNK	2020	2176	2223	506	0	0	0	0	0	0	0	0	0
DJI	2020	1	2		0	0	0	0	0	0	0	0	0
DMA	2020	6	3	1	0	0	0	0	0	0	0	0	0
DOM	2020	3	0										
not found	2020			1	0	0	0	0	0	0	0	0	0
ECU	2020	19	7	4	0	0	0	0	0	0	0	0	0
EGY	2020	404	400	152	0	0	0	0	0	0	0	0	0
SLV	2020	0	4	1	0	0	0	0	0	0	0	0	0
not found	2020	0	0										
GIN	2020			0	0	0	0	0	0	0	0	0	0
ERI	2020	2	5	2	0	0	0	0	0	0	0	0	0
EST	2020	394	651	140	0	0	0	0	0	0	0	0	0
ETH	2020	9	21	6	0	0	0	0	0	0	0	0	0
FJI	2020	34	49	3	0	0	0	0	0	0	0	0	0
FIN	2020	986	1037	275	0	0	0	0	0	0	0	0	0
FRA	2020	9352	11430	4056	0	0	0	0	0	0	0	0	0
GMB	2020	0	1	1	0	0	0	0	0	0	0	0	0
GAB	2020	1			0	0	0	0	0	0	0	0	0
GEO	2020	102	108	26	0	0	0	0	0	0	0	0	0
DEU	2020	11494	16405	6608	0	0	0	0	0	0	0	0	0
GHA	2020	3	5	1	0	0	0	0	0	0	0	0	0
GRC	2020	598	618	357	0	0	0	0	0	0	0	0	0
GRD	2020	3	5	8	0	0	0	0	0	0	0	0	0
GTM	2020	6	1	0	0	0	0	0	0	0	0	0	0
GIN	2020	1	0	0	0	0	0	0	0	0	0	0	0
GNB	2020	0	0	0	0	0	0	0	0	0	0	0	0
GUY	2020	0	5	4	0	0	0	0	0	0	0	0	0
HTI	2020	2	1	0	0	0	0	0	0	0	0	0	0
HND	2020	7	6	1	0	0	0	0	0	0	0	0	0
HKG	2020	8	0	2	0	0	0	0	0	0	0	0	0
HUN	2020	758	655	175	0	0	0	0	0	0	0	0	0
ISL	2020	48	38	28	0	0	0	0	0	0	0	0	0
IND	2020	41448	35309	12600	0	0	0	0	0	0	0	0	0
IDN	2020	401	515	198	0	0	0	0	0	0	0	0	0
IRN	2020	330	293	25	0	0	0	0	0	0	0	0	0
IRQ	2020	71	52	15	0	0	0	0	0	0	0	0	0
IRL	2020	948	1084	262	0	0	0	0	0	0	0	0	0
ISR	2020	1688	1539	329	0	0	0	0	0	0	0	0	0
ITA	2020	4454	3743	406	0	0	0	0	0	0	0	0	0
JAM	2020	7	18	0	0	0	0	0	0	0	0	0	0
JPN	2020	2917	3015	712	0	0	0	0	0	0	0	0	0
JOR	2020	361	206	60	0	0	0	0	0	0	0	0	0
KAZ	2020	1182	673	478	0	0	0	0	0	0	0	0	0
KEN	2020	45	50	15	0	0	0	0	0	0	0	0	0
not found	2020	11	5	0	0	0	0	0	0	0	0	0	0
KWT	2020	465	326	34	0	0	0	0	0	0	0	0	0
KGZ	2020	122	75	24	0	0	0	0	0	0	0	0	0
LAO	2020	8	8	3	0	0	0	0	0	0	0	0	0
LVA	2020	235	208	155	0	0	0	0	0	0	0	0	0
LBN	2020	212	223	48	0	0	0	0	0	0	0	0	0
LSO	2020	2	0	0	0	0	0	0	0	0	0	0	0
LBR	2020	2	0	0	0	0	0	0	0	0	0	0	0
LBY	2020	6	7	1	0	0	0	0	0	0	0	0	0
LIE	2020	6	15	3	0	0	0	0	0	0	0	0	0
LTU	2020	514	397	143	0	0	0	0	0	0	0	0	0
LUX	2020	55	57	26	0	0	0	0	0	0	0	0	0
MKD	2020	23	20	10	0	0	0	0	0	0	0	0	0
MDG	2020	3	21	3	0	0	0	0	0	0	0	0	0
MWI	2020	5	5	2	0	0	0	0	0	0	0	0	0
MYS	2020	1399	1400	695	0	0	0	0	0	0	0	0	0
MDV	2020	4264	2960	2183	0	0	0	0	0	0	0	0	0
MLI	2020	0	3	0	0	0	0	0	0	0	0	0	0
MLT	2020	87	40	21	0	0	0	0	0	0	0	0	0
MRT	2020	1	0	0	0	0	0	0	0	0	0	0	0
MUS	2020	107	44	19	0	0	0	0	0	0	0	0	0
MEX	2020	138	181	30	0	0	0	0	0	0	0	0	0
MDA	2020	120	103	23	0	0	0	0	0	0	0	0	0
MCO	2020	0	6	0	0	0	0	0	0	0	0	0	0
MNG	2020	20	13	2	0	0	0	0	0	0	0	0	0
MNE	2020	33	40	12	0	0	0	0	0	0	0	0	0
MAR	2020	125	136	50	0	0	0	0	0	0	0	0	0
MOZ	2020	9	3	0	0	0	0	0	0	0	0	0	0
MMR	2020	190	214	128	0	0	0	0	0	0	0	0	0
NAM	2020	0	6	0	0	0	0	0	0	0	0	0	0
NRU	2020	0	0	0	0	0	0	0	0	0	0	0	0
NPL	2020	589	560	235	0	0	0	0	0	0	0	0	0
NLD	2020	3538	3763	1355	0	0	0	0	0	0	0	0	0
NZL	2020	1035	987	302	0	0	0	0	0	0	0	0	0
NGA	2020	12	13	0	0	0	0	0	0	0	0	0	0
NER	2020	0	0	3	0	0	0	0	0	0	0	0	0
NOR	2020	1379	1304	336	0	0	0	0	0	0	0	0	0
OMN	2020	768	229	48	0	0	0	0	0	0	0	0	0
PAK	2020	1397	1166	502	0	0	0	0	0	0	0	0	0
PSE	2020	85	33	10	0	0	0	0	0	0	0	0	0
PAN	2020	6	8	1	0	0	0	0	0	0	0	0	0
PNG	2020	3	3		0	0	0	0	0	0	0	0	0
PRY	2020	6	5	2	0	0	0	0	0	0	0	0	0
PER	2020	30	44	21	0	0	0	0	0	0	0	0	0
PHL	2020	1199	1890	1160	0	0	0	0	0	0	0	0	0
POL	2020	5577	4693	1638	0	0	0	0	0	0	0	0	0
PRT	2020	568	850	184	0	0	0	0	0	0	0	0	0
QAT	2020	69	53	7	0	0	0	0	0	0	0	0	0
ZWE	2020	7	4	1	0	0	0	0	0	0	0	0	0
ROU	2020	785	693	246	0	0	0	0	0	0	0	0	0
RUS	2020	19616	20948	8833	0	0	0	0	0	0	0	0	0
RWA	2020	3	6	0	0	0	0	0	0	0	0	0	0
KNA	2020	8	6	1	0	0	0	0	0	0	0	0	0
VCT	2020	2	0	1	0	0	0	0	0	0	0	0	0
LCA	2020	0	1	0	0	0	0	0	0	0	0	0	0
VCT	2020	0	3	0	0	0	0	0	0	0	0	0	0
WSM	2020	0	1	0	0	0	0	0	0	0	0	0	0
SMR	2020	0	3	0	0	0	0	0	0	0	0	0	0
SAU	2020	3914	662	179	0	0	0	0	0	0	0	0	0
SEN	2020	0	3	0	0	0	0	0	0	0	0	0	0
SRB	2020	202	204	91	0	0	0	0	0	0	0	0	0
SYC	2020	0	77	29	0	0	0	0	0	0	0	0	0
SLE	2020	2		1	0	0	0	0	0	0	0	0	0
SGP	2020	1214	878	453	0	0	0	0	0	0	0	0	0
SVK	2020	539	730	244	0	0	0	0	0	0	0	0	0
SVN	2020	261	463	76	0	0	0	0	0	0	0	0	0
SOM	2020	5	9	1	0	0	0	0	0	0	0	0	0
ZAF	2020	686	544	134	0	0	0	0	0	0	0	0	0
KOR	2020	1577	835	87	0	0	0	0	0	0	0	0	0
SSD	2020	0	1	0	0	0	0	0	0	0	0	0	0
ESP	2020	1509	1380	496	0	0	0	0	0	0	0	0	0
SDN	2020	67	40	36	0	0	0	0	0	0	0	0	0
SUR	2020	0	3	1	0	0	0	0	0	0	0	0	0
SWZ	2020	0	1	0	0	0	0	0	0	0	0	0	0
SWE	2020	3099	3239	723	0	0	0	0	0	0	0	0	0
CHE	2020	2508	2924	957	0	0	0	0	0	0	0	0	0
SYR	2020	37	16	4	0	0	0	0	0	0	0	0	0
TWN	2020	1296	580	109	0	0	0	0	0	0	0	0	0
TJK	2020	18	15	9	0	0	0	0	0	0	0	0	0
TZA	2020	16	27	9	0	0	0	0	0	0	0	0	0
THA	2020	736	927	217	0	0	0	0	0	0	0	0	0
TON	2020	0	0	0	0	0	0	0	0	0	0	0	0
TLS	2020	0	1	0	0	0	0	0	0	0	0	0	0
TGO	2020	0	2	0	0	0	0	0	0	0	0	0	0
TTO	2020	7	19	0	0	0	0	0	0	0	0	0	0
TUN	2020	80	45	24	0	0	0	0	0	0	0	0	0
TUR	2020	1145	813	163	0	0	0	0	0	0	0	0	0
TKM	2020	9	9	3	0	0	0	0	0	0	0	0	0
UGA	2020	16	15	5	0	0	0	0	0	0	0	0	0
UKR	2020	8549	6072	2155	0	0	0	0	0	0	0	0	393
ARE	2020	199	123	30	0	0	0	0	0	0	0	0	0
GBR	2020	21138	26348	7969	0	0	0	0	0	0	0	0	0
USA	2020	7494	7803	1545	0	0	0	0	0	0	0	0	0
URY	2020	21	11	4	0	0	0	0	0	0	0	0	0
UZB	2020	74	108	35	0	0	0	0	0	0	0	0	0
VUT	2020	5	1	0	0	0	0	0	0	0	0	0	0
VEN	2020	13	17	3	0	0	0	0	0	0	0	0	0
VNM	2020	287	325	97	0	0	0	0	0	0	0	0	0
YEM	2020	116	38	19	0	0	0	0	0	0	0	0	0
ZMB	2020	16	5	2	0	0	0	0	0	0	0	0	0
ZWE	2020	11	21	14	0	0	0	0	0	0	0	0	0
AFG	2021	0	0	1	1	1	1	0	1	4	0	1	5
ALB	2021	0	0	0	0	0	0	0	0	0	0	0	3
DZA	2021	0	0	0	0	0	0	0	0	1	0	8	21
AND	2021	0	0	1	0	0	0	0	0	0	0	3	1
AGO	2021	0	0	0	0	0	0	0	0	0	1	1	0
ATG	2021	0	1	0	0	0	0	0	0	0	0	2	1
ARG	2021	0	0	0	5	1	0	1	0	3	2	12	26
ARM	2021	2	1	9	5	1	0	0	4	1	5	6	78
AUS	2021	3	24	29	60	34	13	15	26	27	121	940	3129
AUT	2021	5	19	38	32	9	8	47	55	44	151	267	827
AZE	2021	0	2	7	2	0	0	7	0	1	0	16	53
BHS	2021	0	0	0	0	0	0	0	0	0	1	2	1
BHR	2021	0	0	8	2	13	0	3	5	0	6	10	81
BGD	2021	0	6	3	5	6	2	31	19	235	273	372	544
BRB	2021	0	0	0	0	0	0	0	0	0	0	8	0
BLR	2021	30	44	23	14	0	0	0	7	13	36	120	359
BEL	2021	0	7	9	22	1	3	17	54	61	152	318	639
BLZ	2021	0	0	0	0	0	0	0	0	0	0	0	0
BEN	2021	0	0	0	0	0	0	0	0	1	0	0	0
BTN	2021	0	0	1	0	1	0	0	0	0	0	2	1
BOL	2021	0	0	2	0	0	0	0	0	0	0	16	0
BIH	2021	0	1	0	0	0	0	0	1	0	2	6	9
BWA	2021	0	0	1	1	0	0	0	0	0	0	0	0
BRA	2021	0	3	3	6	2	1	0	4	6	6	30	98
BRN	2021	0	0	0	0	0	0	0	0	0	0	0	0
BGR	2021	0	0	2	15	4	0	0	4	1	5	58	122
BDI	2021	0	1	0	0	0	0	0	0	0	0	1	0
BFA	2021	0	0	0	0	0	0	0	0	0	2	0	0
KHM	2021	0	0	1	0	0	0	0	0	0	2	4	7
CMR	2021	0	0	0	0	0	0	0	0	0	1	1	2
CAN	2021	17	71	120	144	69	67	178	594	265	688	1161	1705
CAF	2021	0	0	0	0	0	1	0	0	0	0	0	0
TCD	2021	0	0	0	0	0	0	0	0	0	0	0	0
CPV	2021	0	0	0	0	0	0	0	0	0	0	0	0
CHL	2021	0	1	0	0	0	0	0	0	0	3	4	15
CHN	2021	27	117	223	475	237	176	167	178	176	182	201	258
COL	2021	0	2	3	4	3	1	0	1	2	4	19	37
COM	2021	0	0	0	0	0	0	0	0	0	1	0	0
COD	2021	0	0	0	0	0	0	0	0	0	0	0	0
CRI	2021	0	0	0	0	0	0	0	0	0	1	1	7
CIV	2021	0	1	0	1	0	0	0	0	0	0	0	0
HRV	2021	0	0	1	1	1	0	1	0	2	10	33	53
CUB	2021	0	0	0	2		0	0	0	0	0	0	4
CYP	2021	0	0	1	1	3	1	0	9	4	3	12	27
CZE	2021	0	17	52	52	5	4	17	30	39	132	429	1087
DNK	2021	0	11	21	10	5	1	34	27	62	159	316	656
DJI	2021	0	0	0	0	0	0	0	0	0	0	0	0
DMA	2021	0	0	0	1	0	0	1	0	0	0	4	2
DOM	2021	0	0	0	0	0	0	0	0	1	0	1	0
ECU	2021	0	0	0	0	0	0	0	0	0	1	1	2
EGY	2021	0	3	9	8	3	0	3	5	8	13	80	268
SLV	2021	0	0	0	0	0	0	0	0	0	0	1	0
GNQ	2021	0	0	0	0	0	0	0	0	0	0	0	0
ERI	2021	0	0	0	0	0	0	0	1	0	0	2	4
EST	2021	0	3	8	22	0	1	0	1	0	31	50	260
ETH	2021	0	0	0	3	0	0	0	0	0	6	5	5
not found	2021	0	0	0	0	0	0	0	0	0	1	0	0
FJI	2021	0	0	0	0	0	3	0	0	0	0	5	4
FIN	2021	0	2	7	10	5	0	1	4	20	32	65	195
FRA	2021	4	40	72	84	27	654	147	248	181	624	1447	3021
GMB	2021	0	0	0	0	0	0	0	0	0	0	0	0
GAB	2021	0	0	0	0	0	0	0	0	0	0	0	1
GEO	2021	0	0	1	9	0	0	0	4	2	14	23	60
DEU	2021	19	245	502	383	222	137	215	515	466	1196	2667	5875
GHA	2021	0	0	0	0	1	0	0	0	0	1	1	1
GRC	2021	0	1	3	4	2	0	3	3	14	14	46	159
GRD	2021	0	0	0	0	0	0	0	0	0	0	1	0
GTM	2021	0	0	0	0	0	0	0	0	3	0	3	0
GIN	2021	0	0	0	1	0	0	0	0	0	0	0	0
GNB	2021	0	0	0	0	0	0	1	0	0	0	0	0
GUY	2021	0	0	0	0	0	0	0	0	0	0	3	2
HTI	2021	0	0	0	0	0	0	0	0	0	0	0	0
HND	2021	0	0	0	1	0	0	0	0	0	0	0	0
HKG	2021	0	0	0	0	0	0	0	0	0	0	0	0
HUN	2021	0	6	6	7	0	0	2	3	12	24	63	322
ISL	2021	0	0	1	0	0	0	0	1	0	6	15	18
IND	2021	17	79	183	796	39	5	8	405	8528	8406	14236	23566
IDN	2021	3	5	3	6	1	9	21	96	245	473	806	188
IRN	2021	0	0	65	4	3	2	6	7	7	16	106	181
IRQ	2021	0	0	3	1	3	0	8	0	2	39	91	115
IRL	2021	0	18	15	17	8	1	7	9	19	49	86	330
IMN	2021	0	0	0	0	0	0	0	0	0	0	0	1
ISR	2021	0	1	14	33	8	3	22	78	147	110	624	684
ITA	2021	2	23	34	43	29	16	32	54	47	160	313	556
JAM	2021	0	0	1	0	0	0	0	0	0	0	2	5
JPN	2021	1	9	12	19	8	11	7	9	9	45	103	159
JOR	2021	0	4	34	14	12	17	10	16	8	61	183	323
KAZ	2021	1	1231	1514	440	2	0	2	7	3	7	85	2462
KEN	2021	0	0	1	1	0	0	0	1	1	7	7	21
not found	2021	0	1	0	0	0	0	1	0	0	0	3	1
KWT	2021	0	0	3	3	0	0	1	3	4	20	34	98
KGZ	2021	0	1	2	0	7	0	0	0	0	6	6	67
LAO	2021	0	0	0	0	0	0	0	0	0	0	0	0
LVA	2021	1	13	12	6	3	2	0	2	4	15	106	170
LBN	2021	0	6	48	45	16	0	7	6	4	37	126	252
LSO	2021	0	0	0	0	0	0	0	0	0	0	0	0
LBR	2021	0	0	0	0	0	0	0	0	0	0	0	1
LBY	2021	0	0	0	0	0	0	0	0	1	0	2	5
LIE	2021	0	0	1	1	0	0	0	0	0	2	2	9
LTU	2021	0	5	11	2	1	4	2	2	11	60	130	155
LUX	2021	0	2	2	6	0	0	5	2	0	1	19	43
MKD	2021	0	0	0	1	0	0	0	0	1	1	6	7
MDG	2021	0	0	1	0	0	0	0	0	0	0	5	0
MWI	2021	0	0	0	0	0	0	0	0	0	2	0	1
MYS	2021	1	3	3	8	2	0	2	2	3	44	97	158
MDV	2021	17	13	56	32	73	22	249	341	146	963	1464	2896
MLI	2021	0	0	0	0	0	0	0	0	0	0	1	1
MLT	2021	0	0	1	0	0	0	1	0	0	1	6	9
MRT	2021	0	0	0	0	0	0	0	0	0	0	0	0
MUS	2021	0	1	2	0	0	0	1	2	1	3	0	13
MEX	2021	0	3	2	1	0	1	0	3	4	10	13	41
FSM	2021	0	0	0	1	0	0	0	0	0	0	0	0
MDA	2021	6	7	1	1	0	0	0	0	0	0	12	38
MCO	2021	0	0	0	0	0	0	0	0	0	0	1	0
MNG	2021	0	0	0	0	0	0	0	0	0	0	0	4
MNE	2021	0	0	0	0	1	0	1	1	0	0	0	0
MAR	2021	0	1	0	2	0	1	1	1	1	7	20	51
MOZ	2021	0	0	0	1	0	0	0	0	0	0	0	1
MMR	2021	1	4	1	5	2	2	0	3	2	1	9	9
NAM	2021	0	0	0	4	0	0	0	0	0	1	0	2
NRU	2021	0	0	0	0	0	0	0	0	0	0	0	0
NPL	2021	0	1	1	3	2	3	1	4	7	29	65	209
NLD	2021	18	21	35	52	11	20	72	115	94	242	598	1144
NZL	2021	3	5	7	14	5	6	0	11	3	24	80	167
NGA	2021	0	0	0	2	0	0	0	0	1	0	1	7
NER	2021	0	0	0	0	0	0	0	0	0	0	0	0
NOR	2021	0	14	21	17	2	32	39	64	56	212	237	447
OMN	2021	0	0	1	0	0	0	1	11	5	27	69	132
PAK	2021	0	13	17	18	9	13	111	456	1225	2042	2612	1004
PSE	2021	0	0	1	0	2	0	0	1	3	3	20	38
PAN	2021	0	1	0	0	0	0	0	0	0	0	0	0
PNG	2021	0	0	0	0	0	0	0	0	0	0	0	2
PRY	2021	0	0	2	0	0	0	0	0	0	0	0	0
PER	2021	0	0	0	1	0	0	0	0	0	0	7	10
PHL	2021	6	15	8	28	26	6	18	21	31	76	116	178
POL	2021	0	11	45	26	9	2	8	34	20	116	460	1379
PRT	2021	0	4	4	8	1	3	1	6	17	53	141	134
QAT	2021	0	1	0	2	0	0	0	0	0	7	12	12
ZWE	2021	0	0	0	0	0	0	0	0	0	0	1	1
ROU	2021	0	2	4	32	2	6	0	20	7	21	145	581
RUS	2021	20	119	197	173	94	33	66	247	304	1328	3520	10793
RWA	2021	0	0	0	0	0	0	0	0	0	0	0	0
KNA	2021	0	2	0	3	0	0	0	1	1	0	3	12
LCA	2021	0	0	0	0	0	0	0	0	0	0	1	2
VCT	2021	0	0	0	0	0	0	0	0	0	0	2	0
WSM	2021	0	0	0	0	0	0	0	0	0	0	0	0
SMR	2021	0	0	0	0	0	0	0	0	0	0	1	0
SAU	2021	0	0	1	1	7	4	11	36	23	79	693	741
SEN	2021	0	0	0	0	0	0	0	0	0	0	0	0
SRB	2021	0	2	9	3	0	3	0	3	3	4	55	80
SYC	2021	0	0	1	5	0	0	1	3	1	5	71	31
SLE	2021	0	0	0	0	0	0	0	0	0	0	1	0
SGP	2021	1	0	4	4	11	1	4	12	16	31	167	306
SVK	2021	0	14	26	39	8	6	11	18	21	42	168	311
SVN	2021	0	5	2	5	2	0	0	6	5	10	18	38
SOM	2021	0	0	0	0	0	0	0	0	0	1	5	0
ZAF	2021	0	1	23	31	9	2	3	4	4	26	60	109
KOR	2021	0	5	7	2	1	0	2	3	11	76	162	120
SSD	2021	0	0	0	0	0	0	0	0	0		0	0
ESP	2021	0	18	36	30	20	10	15	78	182	269	463	894
SDN	2021	0	1	0	1	0	0	2	3	1	1	19	69
SUR	2021	0	0	0	0	0	0	0	0	0	0	0	0
SWZ	2021	0	0	0	0	0	0	0	0	0	0	0	0
SWE	2021	0	9	22	19	7	14	29	40	29	98	264	1070
CHE	2021	3	33	84	93	45	27	123	152	88	403	698	1225
SYR	2021	0	0	1	1	0	0	0	0	0	1	2	0
TWN	2021	0	0	3	5	0	0	2	2	3	6	2	19
TJK	2021	0	0	0	2	0	0	1	0	1	7	1	3
TZA	2021	0	0	0	0	0	0	0	0	0	1	2	4
THA	2021	0	2	6	3	3	0	3	5	5	29	62	129
TON	2021	0	0	0	0	0	0	0	0	0	0	0	1
TLS	2021	0	0	0	0	0	0	0	0	0	0	0	0
TGO	2021	0	0	0	0	0	0	0	0	0	0	0	2
TTO	2021	0	0	0	0	0	0	0	0	2	2	9	3
TUN	2021	0	0	0	1	0	0	5	0	2	5	13	55
TUR	2021	1	3	15	11	9	3	6	8	16	31	65	141
TKM	2021	0	1	0	0	0	0	0	0	0	0	2	1
UGA	2021	0	0	0	2	0	0	0	0	1	2	2	2
UKR	2021	1460	845	287	47	18	9	13	20	43	168	565	3562
ARE	2021	0	0	4	7	6	0	3	0	0	5	60	169
GBR	2021	3	79	316	334	149	121	342	489	309	2241	3770	8493
USA	2021	10	75	182	248	153	118	242	311	150	573	1178	2884
URY	2021	0	0	1	0	0	0	0	0	0	0	3	9
UZB	2021	0	5	10	5	5	1	6	0	0	6	15	52
VUT	2021	0	0	0	0	0	0	2	0	0	1	3	0
VEN	2021	0	0	0	0	0	0	0	0	1	1	2	4
VNM	2021	0	0	5	2	5	0	1	1	2	4	8	24
YEM	2021	0	0	0	2	2	0	0	1	0	4	26	21
ZMB	2021	0	0	0	0	0	1	0	0	0	0	0	0
ZWE	2021	0	0	0	0	0	0	0	0	1	0	2	4
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
not found	2021												
AFG	2022	0	2	16	0	1	0	2	0	0	0	7	11
ALB	2022	21	7	10	6	7	8	4	2	2	3	3	10
DZA	2022	6	24	31	8	15	9	10	9	10	12	11	29
AND	2022	0	1	3	0	2	1	2	13	0	0	0	3
ATA	2022	0	0	0	0	0	0	0	0	0	0	0	1
AGO	2022	2	2	3	2	0	0	1	0	3	0	0	0
ATG	2022	2	0	3	1	2	1	1	2	0	1	2	1
ARG	2022	29	25	38	27	14	7	8	4	4	17	40	55
ARM	2022	56	89	74	56	26	14	25	15	37	57	86	244
AUS	2022	2814	1688	2359	3508	1660	2511	1974	1898	2309	2106	2939	5158
AUT	2022	788	1054	887	575	189	109	299	206	152	239	424	619
AZE	2022	65	75	366	29	21	9	11	37	9	15	55	89
BHS	2022	0	0	0	0	0	1	0	0	0	0	1	0
BHR	2022	59	49	80	22	51	42	36	22	14	28	19	88
BGD	2022	302	259	451	155	249	129	176	168	338	417	511	662
BRB	2022	0	3	0	0	1	0	0	0	1	0	2	6
BLR	2022	736	823	515	129	68	34	35	46	54	143	456	582
BEL	2022	495	620	761	846	212	259	1115	475	316	274	279	512
BLZ	2022	1	0	1	0	0	0	0	0	0	0	0	0
BEN	2022	0	0	0	1	0	0	0	0	0	0	0	0
BTN	2022	30	11	6	2	1	3	3	30	8	5	31	9
BOL	2022	6	1	3	8	2	2	0	2	3	5	3	2
BIH	2022	15	27	28	11	5	1	0	4	0	2	5	6
BWA	2022	5	0	0	1	2	0	3	0	0	0	0	4
BRA	2022	49	48	87	135	42	27	34	32	40	27	51	97
BRN	2022	0	0	0	0	1	0	0	6	2	1	2	4
BGR	2022	305	547	396	146	15	13	13	25	22	18	30	113
BFA	2022	1	0	0	0	0	0	0	0	0	0	0	0
KHM	2022	21	22	2	4	6	2	14	3	8	12	43	20
CMR	2022	1	1	2	0	0	0	0	2	0	1	0	0
CAN	2022	1666	1958	2989	2083	2013	2308	3458	2581	1552	1625	1994	2618
CPV	2022	2	2	1	1	0	0	0	0	0	0	0	0
TCD	2022	0	2	0	0	1	0	0	1	0	0	0	1
CHL	2022	29	14	30	12	16	5	7	4	7	12	23	23
CHN	2022	226	266	358	261	242	231	266	534	637	468	591	635
COL	2022	20	28	40	61	37	12	8	20	11	23	17	27
COM	2022	2	1	2	1	2	2	0	0	1	1	1	3
COG	2022	3	1	3	1	0	0	2	0	1	1	2	0
CRI	2022	4	11	7	5	1	1	0	2	0	0	3	6
CIV	2022	0	0	0	0	0	0	1	0	0	0	0	0
HRV	2022	60	67	73	23	8	8	13	8	8	8	21	41
CUB	2022	1	1	4	7	1	1	2	0	0	0	0	2
CYP	2022	39	25	48	54	11	17	19	73	19	19	28	38
CZE	2022	1174	2055	1802	686	83	151	217	95	53	150	355	529
DNK	2022	1013	1217	1187	1307	295	275	457	235	164	265	312	551
DJI	2022	0	1	1	1	3	0	0	0	0	0	1	0
DMA	2022	3	4	6	4	0	0	2	3	0	2	7	6
DOM	2022	2	0	0	3	0	0	0	0	0	1	1	1
ECU	2022	2	4	7	4	6	12	1	3	5	2	5	8
EGY	2022	217	453	445	170	211	84	136	41	53	173	137	220
SLV	2022	0	4	3	3	0	3	1	3	1	2	2	3
GNQ	2022	0	0	0	0	2	1	0	0	0	0	0	0
ERI	2022	2	2	1	0	3	0	0	1	0	0	2	1
EST	2022	185	285	210	64	12	5	8	2	10	58	28	111
ETH	2022	3	4	5	3	11	6	3	0	2	3	2	14
FJI	2022	0	0	6	0	1	1	3	3	8	4	3	19
FIN	2022	271	298	181	169	45	95	59	40	28	78	77	159
FRA	2022	3616	5699	5741	4035	1076	1717	3567	2784	1201	1540	1841	2665
GAB	2022	0	0	1	1	0	0	0	0	0	0	1	0
GMB	2022	0	0	0	1	0	0	0	0	0	0	0	0
GEO	2022	106	168	67	28	64	61	24	70	28	40	71	65
DEU	2022	5339	7780	9561	6088	2208	2466	3666	3251	2149	2881	5169	4984
GHA	2022	2	3	0	0	1	1	3	2	0	0	10	7
GRC	2022	78	150	102	145	25	16	40	49	27	52	41	174
GUM	2022	0	2	0	0	0	0	0	0	0	0	0	0
GRD	2022	0	0	3	0	0	3	2	1	3	1	0	1
GTM	2022	0	3	2	8	0	0		0	0	0	1	2
GNB	2022	0	0	0	0	0	0	0	0	0	0	0	1
GUY	2022	0	0	4	2	0	0	0	1	0	0	1	1
HND	2022	1	2	0	0	0	0	1	0	2	0	2	2
HKG	2022	0	0	0	0	0	0	0	0	0	0	0	1
HTI	2022	0	0	0	1	0	0	0	0	0	0	0	0
HUN	2022	425	502	508	217	33	47	42	17	31	66	136	300
ISL	2022	21	22	18	21	4	23	11	1	2	5	6	29
IND	2022	11751	12744	23216	8678	5562	6810	6031	5340	6493	8862	10167	17350
IDN	2022	75	81	112	56	72	45	30	36	71	70	103	134
IRN	2022	260	303	2235	227	102	79	35	88	214	190	206	362
IRQ	2022	72	171	236	71	120	40	98	59	18	44	39	145
IRL	2022	217	375	746	603	191	137	172	80	52	101	139	243
ISR	2022	707	1587	1007	1228	150	212	404	643	826	557	548	1457
ITA	2022	503	553	730	584	329	506	650	937	352	480	619	1206
JAM	2022	2	0	4	2	0	1	0	1	1	0	0	2
JPN	2022	92	122	226	249	158	148	169	294	226	318	377	708
JOR	2022	224	230	363	135	207	79	242	154	145	181	177	335
KAZ	2022	2041	2821	2598	122	28	22	12	13	27	27	95	262
KEN	2022	19	19	42	20	12	12	5	9	6	15	29	42
not found	2022	2	0	3	3	0	1	1	0	0	1	1	1
KWT	2022	36	204	131	49	118	45	78	53	43	58	41	96
KGZ	2022	125	109	82	22	21	0	1	9	9	30	30	94
LAO	2022	2	9	4	0	0	1	0	3	3	4	0	3
LVA	2022	192	209	375	67	11	12	12	6	10	39	237	135
LBN	2022	87	153	200	305	123	71	108	58	58	88	88	267
LSO	2022	0	0	0	0	2	1	0	0	0	0	0	0
LBR	2022	0	1	1	0	1	0	1	0	0	1	0	0
